
16,58,54,63,36,27,8,33,26,0,62
12,53,48,56,25,20,3,33,27,0,56
8,46,38,49,14,12,1,35,28,0,46
2,38,29,43,5,5,3,38,30,0,36
1,37,24,44,1,1,5,44,35,2,31
0,40,23,48,3,3,6,46,37,5,33
0,43,22,52,5,6,7,50,40,8,33
0,42,19,52,7,8,6,48,38,10,30
0,38,15,50,7,8,7,47,37,10,23
0,33,12,43,6,7,8,42,34,9,17
0,28,8,40,4,5,9,41,33,9,11
0,26,7,35,2,3,9,39,31,9,9
0,26,6,36,3,3,9,37,30,9,8
0,28,7,36,5,6,11,39,31,10,9
0,31,8,39,7,8,10,40,32,12,12
0,34,9,43,7,8,11,45,36,13,14
0,36,10,45,8,9,12,47,37,14,17
0,36,11,47,9,10,13,47,37,14,19
0,36,12,48,9,10,14,46,37,16,22
0,38,13,49,9,10,14,44,35,18,26
0,38,15,46,7,8,14,43,34,18,30
0,39,17,46,7,8,14,44,35,17,34
0,40,19,45,7,8,14,44,36,16,37
0,40,19,47,8,9,13,45,36,14,37
0,39,18,45,8,9,11,44,35,13,36
0,38,17,45,9,10,10,43,34,12,36
0,39,17,45,9,10,9,43,34,12,35
0,39,18,46,10,12,10,43,34,12,35
0,39,17,45,11,12,10,43,34,12,35
0,37,16,44,12,13,11,42,34,12,33
0,36,16,43,12,14,11,40,32,12,32
0,35,16,42,14,16,11,37,29,11,29
0,34,15,42,15,17,8,32,26,9,27
0,35,13,46,16,18,5,33,26,9,23
1,36,13,49,15,17,4,34,27,8,22
2,38,15,50,13,15,4,39,31,9,25
4,39,15,52,13,15,6,39,32,11,27
5,38,14,47,11,13,6,38,30,15,28
5,34,10,40,9,10,7,35,28,17,27
6,29,10,32,7,8,5,31,25,14,25
4,24,11,28,8,9,3,25,20,8,20
2,21,13,30,10,11,1,19,15,3,18
0,21,12,34,8,9,1,20,16,0,19
0,24,12,46,8,9,2,26,21,0,23
0,26,10,54,7,8,4,31,25,0,25
0,27,10,58,7,8,4,33,26,1,25
0,25,8,55,7,8,4,32,26,1,23
0,23,9,50,6,7,3,28,22,1,21
0,21,10,42,7,8,3,23,18,0,19
2,18,10,31,8,9,3,18,14,1,17
2,15,8,26,10,11,2,14,11,2,14
3,11,5,20,10,11,1,11,8,3,9
3,9,3,19,10,12,1,8,6,3,5
4,9,2,17,11,12,1,7,6,3,3
5,8,1,19,11,13,0,7,6,4,1
6,9,1,20,11,13,0,6,5,4,2
7,9,0,20,11,13,0,7,6,6,2
7,10,1,21,12,15,0,8,6,6,3
6,9,1,22,12,16,0,7,6,4,3
2,7,1,23,12,17,0,4,3,2,4
0,5,0,21,11,15,0,2,2,0,3
0,5,0,20,10,14,0,1,1,0,1
0,5,1,17,9,12,0,1,1,0,1
0,5,1,14,9,11,0,1,1,0,2
0,6,2,14,8,9,0,3,3,0,4
0,7,2,14,7,8,0,4,4,0,5
